Microsoft (R) COFF/PE Dumper Version 14.00.23506.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file user32.dll

File Type: DLL

  Section contains the following exports for USER32.dll

    00000000 characteristics
    56540494 time date stamp Tue Nov 24 06:32:52 2015
        0.00 version
        1502 ordinal base
        1201 number of functions
         933 number of names

    ordinal hint RVA      name

       1952  1BC 00038FB0 GetUserObjectInformationW
       1953  1BD 0005D460 GetUserObjectSecurity
       1954  1BE 0005D4A0 GetWinStationInfo
       1955  1BF 0001D580 GetWindow
       1956  1C0 0003C4A0 GetWindowBand
       1957  1C1 0003C4B0 GetWindowCompositionAttribute
       1958  1C2 0003C4C0 GetWindowCompositionInfo
       1959  1C3 0005D4C0 GetWindowContextHelpId
       1960  1C4 00038F30 GetWindowDC
       1961  1C5 00030210 GetWindowDPI
       1962  1C6 0003C4D0 GetWindowDisplayAffinity
       1963  1C7 0003C4E0 GetWindowFeedbackSetting
       1964  1C8 000138F0 GetWindowInfo
       1965  1C9 0002DF20 GetWindowLongA
       1966  1CA 00016FB0 GetWindowLongW
       1967  1CB 0003C4F0 GetWindowMinimizeRect
       1968  1CC 000892F0 GetWindowModuleFileName
       1969  1CD 000892F0 GetWindowModuleFileNameA
       1970  1CE 0005EE40 GetWindowModuleFileNameW
       1971  1CF 00039640 GetWindowPlacement
       1972  1D0 00014150 GetWindowRect
       1973  1D1 00032310 GetWindowRgn
       1974  1D2 00034FC0 GetWindowRgnBox
       1975  1D3 0003C500 GetWindowRgnEx
       1976  1D4 0002CAB0 GetWindowTextA
       1977  1D5 0002C950 GetWindowTextLengthA
       1978  1D6 0002CA60 GetWindowTextLengthW
       1979  1D7 0002CB30 GetWindowTextW
       1980  1D8 0001DA60 GetWindowThreadProcessId
       1981  1D9 00033F60 GetWindowWord
       1982  1DA 0003C510 GhostWindowFromHungWindow
       1983  1DB 0005D550 GrayStringA
       1984  1DC 0005D580 GrayStringW
       1985  1DD 00038AF0 HideCaret
       1986  1DE 0003C550 HiliteMenuItem
       1987  1DF 0003C560 HungWindowFromGhostWindow
       1988  1E0 0008A0C0 IMPGetIMEA
